"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"186","Cade Otton","TB","11","TE21","213","162","199","191.3"
"187","Chigoziem Okonkwo","TEN","5","TE22","210","187","177","191.3"
"217","Jermaine Burton","CIN","12","WR75","","178","209","193.5"
"218","Audric Estime","DEN","14","RB63","","194","193","193.5"
"264","Jake Bates","DET","5","K19","195","","","195.0"
"265","Matt Prater","ARI","11","K20","197","","","197.0"
"188","Jason Sanders","MIA","6","K7","141","233","227","200.3"
"189","Buffalo Bills","DST","12","DST9","148","265","188","200.3"
"220","Clyde Edwards-Helaire","KC","6","RB64","","190","211","200.5"
"221","Jonnu Smith","MIA","6","TE27","","215","190","202.5"
"222","Drake Maye","NE","14","QB32","","191","215","203.0"
"223","Wan'Dale Robinson","NYG","11","WR76","","200","206","203.0"
"190","Younghoe Koo","ATL","12","K8","152","228","230","203.3"
"191","Noah Fant","SEA","10","TE23","209","197","204","203.3"
"192","Ben Sinnott","WAS","14","TE24","203","161","250","204.7"
"194","AJ Dillon","GB","10","RB57","142","243","234","206.3"
"196","Tyler Bass","BUF","12","K9","150","229","245","208.0"
"226","Rashod Bateman","BAL","14","WR77","","195","221","208.0"
"227","Roman Wilson","PIT","9","WR78","","166","251","208.5"
"228","Alexander Mattison","LV","10","RB65","","199","218","208.5"
"231","Marvin Mims Jr.","DEN","14","WR79","","188","235","211.5"
"199","Philadelphia Eagles","DST","5","DST10","163","217","256","212.0"
"272","Kareem Hunt","","","RB75","","","212","212.0"
"200","Evan McPherson","CIN","12","K10","143","227","269","213.0"
"232","Mike Gesicki","CIN","12","TE28","","207","220","213.5"
"201","Odell Beckham Jr.","MIA","6","WR69","135","219","291","215.0"
"234","Demarcus Robinson","LAR","6","WR80","","193","238","215.5"
"236","Matt Gay","IND","14","K14","214","","226","220.0"
"276","Denver Broncos","DST","14","DST25","222","","","222.0"
"237","Keaton Mitchell","BAL","14","RB66","","209","236","222.5"
"238","Ja'Tavion Sanders","CAR","11","TE29","","198","249","223.5"
"279","Washington Commanders","DST","14","DST26","","224","","224.0"
"239","Will Shipley","PHI","5","RB67","","235","214","224.5"
