Player,Team,POS,PASS_ATT,PASS_CMP,PASS_YD,PASS_TD,INTS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,REC_ATT,FL,FPTS
Adam Trautman,NO,TE,0,0,0,0,0,0,0,0,36.5,398,2.8,0,0.2,56.3
Jonnu Smith,NE,TE,0,0,0,0,0,0,0,0,31.8,348.1,2.7,0,0.2,50.5
Tyler Conklin,NYJ,TE,0,0,0,0,0,0,0,0,34,329.3,2.4,0,0.3,47
Dan Arnold,JAC,TE,0,0,0,0,0,0,0,0,29,341.9,2,0,0.4,45.7
Kyle Rudolph,TB,TE,0,0,0,0,0,0,0,0,28,279.6,3,0,0.2,45.6
Isaiah Likely,BAL,TE,0,0,0,0,0,0,0,0,27.3,288.1,2.4,0,0.2,43
Daniel Bellinger,NYG,TE,0,0,0,0,0,0,0,0,27.8,289.5,2,0,0.2,40.3
Cameron Brate,TB,TE,0,0,0,0,0,0,0,0,26.1,250.2,2.5,0,0.2,39.8
C.J. Uzomah,NYJ,TE,0,0,0,0,0,0,0,0,29.1,281.1,2,0,0.1,39.8
Harrison Bryant,CLE,TE,0,0,0,0,0,0,0,0,27.5,279.2,2,0,0.2,39.4
Tommy Tremble,CAR,TE,0,0,0,0,0,0,0,0,26.3,273.8,1.9,0,0.3,38.5
Donald Parham Jr.,LAC,TE,0,0,0,0,0,0,0,0,20.5,223.9,2.2,0,0.1,35.1
Greg Dulcich,DEN,TE,0,0,0,0,0,0,0,0,21.7,218.2,2,0,0.1,33.4
Foster Moreau,LV,TE,0,0,0,0,0,0,0,0,19.1,209,1.7,0,0.1,31.1
Geoff Swaim,TEN,TE,0,0,0,0,0,0,0,0,21.7,194.9,1.9,0,0.1,30.8
